               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076719,            0.040543,            0.017721,             0.68143,             0.60818,             0.64817,             0.29623,            0.045981,            0.018483,            0.010164,            0.070043,           0.0033285,           0.0033285
                   1,            0.060432,            0.037788,           0.0045581,             0.79495,             0.64149,             0.74145,             0.39589,            0.042071,            0.018176,           0.0035494,            0.039911,             0.00653,             0.00653
                   2,            0.057271,            0.037704,           0.0034898,              0.8067,             0.67424,             0.75966,             0.42889,            0.041328,            0.018501,           0.0030646,           0.0096475,           0.0095994,           0.0095994
                   3,            0.055565,            0.038688,           0.0031251,             0.82791,              0.7147,             0.79433,             0.45415,            0.040125,            0.018384,           0.0023086,            0.009406,            0.009406,            0.009406
                   4,            0.053552,            0.038287,           0.0023079,             0.79548,             0.69612,             0.77361,             0.44514,            0.039523,            0.018421,             0.00232,            0.009406,            0.009406,            0.009406
                   5,            0.052096,            0.037654,           0.0019838,             0.81352,             0.70701,             0.79261,             0.46372,            0.039264,            0.018347,           0.0024049,            0.009208,            0.009208,            0.009208
                   6,            0.050813,            0.037239,           0.0018041,             0.84065,             0.70433,             0.80361,             0.47331,            0.037422,            0.018126,           0.0016512,             0.00901,             0.00901,             0.00901
                   7,             0.05014,            0.036458,           0.0015804,              0.8502,              0.7352,             0.82106,             0.50006,            0.036751,            0.017237,           0.0015646,            0.008812,            0.008812,            0.008812
                   8,             0.04939,            0.036128,           0.0014075,              0.8474,             0.72943,             0.81966,              0.5018,            0.036435,            0.017462,           0.0013703,            0.008614,            0.008614,            0.008614
                   9,            0.049112,            0.036019,           0.0013098,             0.85017,             0.70944,             0.81254,             0.49384,            0.036822,            0.017452,           0.0021462,            0.008416,            0.008416,            0.008416
                  10,            0.048745,            0.036153,           0.0011637,              0.8351,             0.75223,             0.82906,             0.51136,            0.036597,            0.017446,           0.0015712,            0.008218,            0.008218,            0.008218
                  11,            0.048403,             0.03578,           0.0011726,             0.87042,             0.74299,             0.82952,             0.51428,            0.036011,            0.017241,           0.0013658,             0.00802,             0.00802,             0.00802
                  12,            0.048055,            0.035542,           0.0012961,             0.85097,             0.74568,             0.83601,             0.52768,            0.035548,            0.017139,           0.0011479,            0.007822,            0.007822,            0.007822
                  13,            0.047654,            0.035494,            0.001105,             0.85502,             0.75304,             0.83496,             0.51655,            0.035786,            0.017117,           0.0010318,            0.007624,            0.007624,            0.007624
                  14,             0.04714,            0.035068,          0.00093438,             0.84821,             0.75931,             0.84122,             0.53513,            0.034862,             0.01696,           0.0011046,            0.007426,            0.007426,            0.007426
                  15,            0.046556,            0.035133,          0.00098852,             0.83019,             0.78263,             0.84648,             0.53412,            0.035163,            0.016709,           0.0011345,            0.007228,            0.007228,            0.007228
                  16,            0.046683,            0.035046,          0.00098902,             0.85736,             0.75639,             0.84912,             0.54427,            0.034811,            0.016514,           0.0010843,             0.00703,             0.00703,             0.00703
                  17,            0.046266,            0.034385,          0.00090634,             0.86779,              0.7466,             0.83825,              0.5304,            0.034809,            0.016777,           0.0014132,            0.006832,            0.006832,            0.006832
                  18,            0.046244,             0.03475,          0.00086545,             0.85576,             0.76121,             0.83998,             0.53522,            0.034971,            0.016795,           0.0015586,            0.006634,            0.006634,            0.006634
                  19,            0.045755,            0.034351,          0.00082917,              0.8637,             0.76747,             0.85434,             0.54391,            0.034666,            0.016665,          0.00091961,            0.006436,            0.006436,            0.006436
                  20,             0.04561,            0.034319,          0.00089094,             0.87613,             0.77036,             0.85194,             0.54829,            0.034321,            0.016587,           0.0010541,            0.006238,            0.006238,            0.006238
                  21,            0.045378,            0.033717,          0.00079351,             0.87316,             0.77779,              0.8558,             0.55758,             0.03429,            0.016436,          0.00094279,             0.00604,             0.00604,             0.00604
                  22,            0.045071,            0.033738,           0.0007029,             0.88757,             0.76298,             0.85431,             0.55823,             0.03393,            0.016452,          0.00089746,            0.005842,            0.005842,            0.005842
                  23,            0.044567,             0.03354,          0.00071486,             0.85697,             0.77402,             0.85207,             0.55357,            0.034404,            0.016476,            0.001083,            0.005644,            0.005644,            0.005644
                  24,             0.04461,            0.033633,          0.00066551,             0.86781,             0.76967,             0.85246,             0.55933,            0.034005,             0.01662,           0.0010657,            0.005446,            0.005446,            0.005446
                  25,            0.044357,            0.033241,          0.00069924,             0.87313,             0.78229,             0.85746,             0.56706,            0.033823,            0.016363,          0.00069242,            0.005248,            0.005248,            0.005248
                  26,            0.044144,            0.033266,          0.00067249,             0.86703,             0.76851,             0.85021,             0.55889,            0.033918,            0.016474,          0.00097674,             0.00505,             0.00505,             0.00505
                  27,            0.044146,            0.033292,          0.00059105,             0.87614,             0.77377,             0.85599,             0.56021,             0.03387,            0.016506,           0.0007287,            0.004852,            0.004852,            0.004852
                  28,            0.043667,            0.033142,          0.00057497,             0.87827,             0.77444,             0.85371,             0.56372,            0.033516,            0.016616,          0.00077058,            0.004654,            0.004654,            0.004654
                  29,             0.04376,            0.032957,          0.00061202,             0.87399,             0.77913,             0.85745,             0.57447,            0.033286,            0.016252,          0.00070595,            0.004456,            0.004456,            0.004456
                  30,            0.043453,            0.032982,          0.00061428,             0.88699,             0.75828,             0.84773,             0.56475,            0.033624,            0.016762,          0.00074941,            0.004258,            0.004258,            0.004258
                  31,            0.043286,            0.032701,          0.00049114,             0.88499,             0.76612,              0.8602,             0.57406,            0.033252,            0.016327,          0.00077367,             0.00406,             0.00406,             0.00406
                  32,            0.043078,            0.032689,          0.00056013,             0.88569,             0.76748,             0.85544,             0.57247,            0.033272,            0.016312,          0.00081206,            0.003862,            0.003862,            0.003862
                  33,            0.042796,            0.032395,          0.00048718,             0.88494,             0.77046,             0.86027,             0.57881,            0.033113,            0.016415,          0.00076982,            0.003664,            0.003664,            0.003664
                  34,            0.042825,            0.032472,          0.00041906,             0.88539,             0.76913,             0.85741,             0.57739,            0.032838,            0.016367,          0.00091172,            0.003466,            0.003466,            0.003466
                  35,            0.042343,            0.031789,           0.0004305,             0.88136,             0.78065,             0.85906,             0.57585,            0.033057,            0.016535,          0.00072494,            0.003268,            0.003268,            0.003268
                  36,            0.042611,            0.032087,          0.00051471,              0.8809,             0.77936,             0.86139,             0.58121,             0.03261,            0.016251,          0.00088745,             0.00307,             0.00307,             0.00307
                  37,            0.042461,            0.031937,          0.00047698,              0.8797,              0.7837,             0.86406,             0.58457,            0.032364,             0.01611,          0.00087061,            0.002872,            0.002872,            0.002872
                  38,            0.041864,            0.031646,          0.00046602,             0.88038,             0.77422,             0.86527,             0.58593,            0.032444,            0.016196,          0.00086183,            0.002674,            0.002674,            0.002674
                  39,            0.041897,            0.031397,          0.00041533,             0.89314,             0.76889,             0.86691,             0.58811,            0.032354,            0.016183,          0.00081575,            0.002476,            0.002476,            0.002476
                  40,             0.04173,            0.031289,          0.00038122,             0.87738,             0.78001,             0.86365,             0.58574,            0.032466,            0.016436,          0.00089366,            0.002278,            0.002278,            0.002278
                  41,            0.041714,            0.031428,          0.00044082,             0.88072,             0.78009,             0.86533,             0.58478,             0.03232,            0.016545,          0.00092449,             0.00208,             0.00208,             0.00208
                  42,            0.041483,            0.031034,          0.00037952,             0.88568,             0.77876,             0.86868,             0.58777,            0.032514,            0.016433,          0.00090878,            0.001882,            0.001882,            0.001882
                  43,            0.040962,            0.031057,          0.00033878,             0.88652,              0.7724,             0.86361,             0.58656,            0.032462,            0.016555,          0.00083404,            0.001684,            0.001684,            0.001684
                  44,            0.040661,            0.030876,          0.00035699,             0.89033,             0.77545,             0.86607,             0.58877,            0.032226,            0.016562,           0.0008981,            0.001486,            0.001486,            0.001486
                  45,            0.040628,            0.030342,          0.00033892,             0.88637,             0.77516,             0.86641,             0.59059,            0.032176,            0.016389,          0.00076291,            0.001288,            0.001288,            0.001288
                  46,            0.040623,            0.030765,          0.00034907,             0.89316,             0.77381,             0.86774,             0.59278,            0.032095,              0.0162,          0.00082073,             0.00109,             0.00109,             0.00109
                  47,            0.040495,            0.030583,          0.00029633,             0.89484,             0.77202,             0.86521,             0.59264,             0.03218,            0.016332,          0.00086605,            0.000892,            0.000892,            0.000892
                  48,            0.040563,             0.03036,          0.00030771,             0.89568,             0.77163,             0.86712,             0.59081,             0.03224,            0.016354,           0.0008173,            0.000694,            0.000694,            0.000694
                  49,            0.039886,            0.029916,          0.00030323,             0.88291,             0.77885,             0.86718,             0.59388,            0.032196,             0.01633,          0.00089831,            0.000496,            0.000496,            0.000496
